(26, 0)
(1, 1)
(1, 0)
(1, 2)
(1, 0)
(1, 3)
(1, 0)
(1, 4)
(22, 0)
(27, 0)
(23, 0)
(26, 0)
(1, 5)
(22, 0)
(28, 0)
(23, 0)
(1, 1)
(4, 0)
(37, 0)
(16, 0)
(17, 0)
(23, 0)
(1, 2)
(4, 0)
(37, 0)
(16, 0)
(17, 0)
(23, 0)
(1, 3)
(4, 0)
(37, 0)
(16, 0)
(17, 0)
(23, 0)
(1, 5)
(4, 0)
(21, 0)
(21, 0)
(2, 1)
(23, 0)
(1, 4)
(4, 0)
(1, 1)
(23, 0)
(34, 0)
(1, 2)
(13, 0)
(1, 4)
(22, 0)
(1, 4)
(4, 0)
(1, 2)
(23, 0)
(34, 0)
(1, 3)
(13, 0)
(1, 4)
(22, 0)
(1, 4)
(4, 0)
(1, 3)
(23, 0)
(38, 0)
(16, 0)
(1, 4)
(17, 0)
(23, 0)
